Word,Frequency,French Raw Confidence,French Flower Power,French Matches,English Raw Confidence,English Flower Power,English Matches,French Bias Score,Language Preference
around,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
ewwwweugh,1,0.083,0.001,1,0.750,0.422,9,-0.667,English
enough,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
practice,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
start,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
base,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
comes,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
welcomes,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
mode,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
bring,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
recognition,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
welcomed,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
rate,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
five,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
sacks,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
flour,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
sigh,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
someone,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
challenge,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
giddyup,1,0.083,0.001,1,0.667,0.296,8,-0.583,English
cheap,1,0.333,0.037,4,1.000,1.000,12,-0.667,English
lord,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
fight,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
woman,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
hah,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
happy,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
trails,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
dumbbell,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
lies,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
ran,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
fast,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
virgin,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
functioning,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
perception,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
pulse,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
hoh,1,0.167,0.005,2,0.917,0.770,11,-0.750,English
scrumpy,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
howdy,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
hsssssssss,1,0.417,0.072,5,1.000,1.000,12,-0.583,English
easily,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
deadliest,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
second,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
uncorking,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
1942,1,0.083,0.001,1,0.583,0.198,7,-0.500,English
château,1,0.167,0.005,2,0.750,0.422,9,-0.583,English
backstab,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
appear,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
burst,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
flames,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
appreciate,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
friendship,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
magic,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
coursing,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
through,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
veins,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
france,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
could,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
believe,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
dominate,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
sluggish,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
simpleton,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
très,1,0.000,0.000,0,0.417,0.072,5,-0.417,English
bon,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
feeling,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
tie,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
wearing,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
silk,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
costs,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
9000,1,0.250,0.016,3,0.667,0.296,8,-0.417,English
returned,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
enemies,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
wines,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
breathe,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
teams,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
romances,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
groups,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
murdered,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
toys,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
dreaming,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
side,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
developed,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
taste,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
seeeing,1,0.083,0.001,1,0.667,0.296,8,-0.583,English
youuu,1,0.000,0.000,0,0.917,0.770,11,-0.917,English
rogue,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
occupied,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
subnormal,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
halfwit,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
looking,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
ray,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
afraid,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
gotten,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
worse,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
scrapes,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
merely,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
finished,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
started,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
prettier,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
follow,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
those,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
ranking,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
imputum,1,0.000,0.000,0,0.833,0.579,10,-0.833,English
fulmenus,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
invokum,1,0.083,0.001,1,0.750,0.422,9,-0.667,English
monoculus,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
ipsum,1,0.000,0.000,0,0.833,0.579,10,-0.833,English
instantarium,1,0.250,0.016,3,0.750,0.422,9,-0.500,English
looks,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
busy,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
things,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
join,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
given,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
promotion,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
perfect,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
witching,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
hour,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
kind,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
nooooooo,1,0.250,0.016,3,0.833,0.579,10,-0.583,English
jealous,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
keep,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
pressure,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
medicine,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
final,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
reward,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
settle,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
listen,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
magnificent,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
marvelous,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
borrow,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
earpiece,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
suggestion,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
run,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
colleagues,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
mhm,1,0.250,0.016,3,0.417,0.072,5,-0.167,English
ask,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
mortis,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
animataris,1,0.083,0.001,1,0.583,0.198,7,-0.500,English
appreciated,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
appreciation,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
amigo,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
sharp,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
watch,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
ski,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
mask,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
freshly,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
laundered,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
pleasure,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
coffin,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
contain,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
worries,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
draw,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
finest,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
personal,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
had,1,0.333,0.037,4,1.000,1.000,12,-0.667,English
shut,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
cross,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
grab,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
fault,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
barely,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
even,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
scratched,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
sure,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
made,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
mess,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
replace,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
getting,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
awkward,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
lost,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
fantastique,1,1.000,1.000,12,0.583,0.198,7,0.417,French
ooh,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
bunny,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
kills,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
still,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
ahead,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
influence,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
grows,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
skills,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
acknowledged,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
pactum,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
diabolus,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
paidum,1,0.000,0.000,0,0.417,0.072,5,-0.417,English
celeris,1,0.167,0.005,2,0.750,0.422,9,-0.583,English
pardon,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
peek,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
perhaps,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
preposterous,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
promise,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
bleed,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
kill,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
queen,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
rules,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
island,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
sacrebleu,1,0.000,0.000,0,0.500,0.125,6,-0.500,English
seismela,1,0.333,0.037,4,0.833,0.579,10,-0.500,English
tremoro,1,0.000,0.000,0,0.417,0.072,5,-0.417,English
mind,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
waiting,1,0.417,0.072,5,1.000,1.000,12,-0.583,English
stabbed,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
sniff,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
smell,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
unstabbed,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
smooth,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
untouched,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
wounds,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
love,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
blank,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
canvas,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
many,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
deadly,1,0.417,0.072,5,1.000,1.000,12,-0.583,English
skill,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
jogging,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
murdering,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
people,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
somebody,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
pop,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
unannounced,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
horn,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
splendid,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
scoundrel,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
success,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
diet,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
warm,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
unfortunate,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
black,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
scottish,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
cyclops,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
extinct,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
move,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
forward,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
isn,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
outcome,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
taking,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
taken,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
world,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
monster,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
room,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
two,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
pretty,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
once,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
tomb,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
unskilled,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
whiners,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
noooooo,1,0.000,0.000,0,0.583,0.198,7,-0.583,English
cap,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
under,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
iron,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
hoof,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
fairyland,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
belongs,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
corpse,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
disposed,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
night,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
pony,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
emerge,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
victorious,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
top,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
shelf,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
stopped,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
voilà,1,0.000,0.000,0,0.833,0.579,10,-0.833,English
knew,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
unacceptable,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
correct,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
immediately,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
mean,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
promoted,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
gained,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
acceptance,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
inferiors,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
battle,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
war,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
handicap,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
their,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
team,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
played,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
visit,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
disappointment,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
dodging,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
disaster,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
expect,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
matter,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
tongue,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
always,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
year,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
assignments,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
vice,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
yippee,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
yay,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
illiterate,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
incompetent,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
cowards,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
amateur,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
fool,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
embarrassment,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
spies,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
everywhere,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
morbidly,1,0.250,0.016,3,1.000,1.000,12,-0.750,English
obese,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
running,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
away,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
filthy,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
jar,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
doomed,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
look,1,1.000,1.000,12,1.000,1.000,12,0.000,Neutral
warmed,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
precious,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
sandvich,1,0.000,0.000,0,0.583,0.198,7,-0.583,English
save,1,0.167,0.005,2,1.000,1.000,12,-0.833,English
fatty,1,0.000,0.000,0,1.000,1.000,12,-1.000,English
laughing,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
live,1,0.083,0.001,1,1.000,1.000,12,-0.917,English
